,Username,Testid,Version,Response,Score
8809,A3083714,2278070.0,A2,"<p>Hola, me gusta primavera. En primavra me gusta jugar deportes y montar bycletas. Yo amo primaver por que esta es calor. </p>",N-MF
8812,A3083714,2278070.0,A2,"<p>Hola Senor, en Guam nostros hace ir a la playas, ir a monumentos y excersion encima Guam. </p>",N-MF
8813,A3083714,2278070.0,A2,"<p>Hola, Yo favorito holiday es christmas por que mi familia es feliz. Vamos a la playa y ir a iglesa. </p>",N-MF
9168,A3088880,2283232.0,A2,<p>Mi celebraccion favorita es Navidad. Mi familia y yo vamos a la iglesia en domingo o el día de Navidad. Nosotros (bring gifts) para todos. Nosotros hablamos y disfrutamos tiempo con la familia. </p>,N-MF
9169,A3088880,2283232.0,A2,"<p>Hola Señor, </p><p>En Rota, España, </p>",N-MM
9173,A3088880,2283232.0,A2,"<p>En Rota, España, el verano es muy bonito. Hace mucho calor. Hace mucho sol. Otras personas y yo también vamos a la playa. Yo voy todos los días. Usualmente yo tengo pantalones cortos y sandalias. En el invierno es tipicalmente frio. Yo tengo pantalones, botas, y muchas chaquetas. Yo quedo en mi casa y bebo café con leche. </p>",N-MF
9174,A3088880,2283232.0,A2,"<p>En Rota, España, el verano es muy bonito. Hace mucho calor. Hace mucho sol. Otras personas y yo también vamos a la playa. Yo voy todos los días. Usualmente yo tengo pantalones cortos y sandalias. En el invierno es tipicalmente frio. Yo tengo pantalones, botas, y muchas chaquetas. Yo quedo en mi casa y bebo café con leche. </p>",N-MF
9178,A3088880,2283232.0,A2,"<p>Hola Señor, </p><p>En Rota, España, </p>",N-SE
9179,A3088880,2283232.0,A2,<p>Mi celebraccion favorita es Navidad. Mi familia y yo vamos a la iglesia en domingo o el día de Navidad. Nosotros (bring gifts) para todos. Nosotros hablamos y disfrutamos tiempo con la familia. </p>,N-MF
11383,A3158255,2348476.0,A1,"<p>de donde eres America en America ustedes have un place called New York y Philadelphia, New york es un muy grande city y Philidelphia es un muy pocito city but it es un loco city dos </p>",N-SE
11385,A3158255,2348476.0,A1,"<p>mi familia es muy pocito y esta es only mi madre, mi padre, y mi hermano. mi casa is grande but mi abuelito y abuelita has un muy grande casa. Mi hermano's nombre es Tyler y ello es quince y mi madre y padre son trese cinco.</p>",N-MM
11386,A3158255,2348476.0,A1,"<p>Hola me llamo giselle robinson, mi favorioto weather es fresco air y llueve dias. Me gusta bilando y sing en la llueve</p>",N-SE
11389,A3158255,2348476.0,A1,"<p>Hola me llamo giselle robinson, mi favorioto weather es fresco air y llueve dias. Me gusta bilando y sing en la llueve</p>",N-SE
11390,A3158255,2348476.0,A1,"<p>mi familia es muy pocito y esta es only mi madre, mi padre, y mi hermano. mi casa is grande but mi abuelito y abuelita has un muy grande casa. Mi hermano's nombre es Tyler y ello es quince y mi madre y padre son trese cinco.</p>",N-SE
11392,A3158255,2348476.0,A1,"<p>de donde eres America en America ustedes have un place called New York y Philadelphia, New york es un muy grande city y Philidelphia es un muy pocito city but it es un loco city dos </p>",N-SE
12673,A3199444,2385442.0,A1,"<p>hola mi favorito pen pal es juan </p><p>mi ir en united states en mi state es Michigan en Ciudad es en Detriot es mucho things to do and uno of those things are to watch biesbol Juego or Baloncesto Equipo es pistons es mucho perfecto or. watch any other deporte equipo. en Ciudad es mucho delicea pizza es so good. en la united states, there are a lot of monuments </p>",N-SE
12675,A3199444,2385442.0,A1,<p> hola mi favorito exchange student  es juan. <br></p><p>mi amo juan en mi famila es mucho exited to ojo tu. mi famila es much grande en buen en. mi madre es merry es 41 she is a amazing chef y como pizza es mucho pefecto. mi padre es matt es 40 un caro seller es muy strong. mi hermano nathan es cincento es tall y grande es una buen football amercano equipo. mi baloncesto equipo es mucho buen. mi perro es has mucho pelo en loves to play fetch. mi casa es grande un cuatro banos un cinco bedrooms en back yard es grande. i think you will have fun here can't wait to meat you ceeya ceeyas</p><p>adios mi favorito exchange student </p>,N-SE
12676,A3199444,2385442.0,A1,<p>hola jose es juan. </p><p>mi favorito es verno es mucho clehante mi no favorito es enverno es mucho friyo en mi favorito primavera es abril es mi cupleamos es perfecto. <br></p><p>en verno mi wearo taota es pantolones cuartos y no jackata. en verno mi famila nademos en la playa . en enfermo mi juego baloncesto en la escuela equipo es mi favorito deporte. adios jose mis favorito pen pal.</p><p>adios. </p><p><br></p>,N-SE
12679,A3199444,2385442.0,A1,<p>hola jose es juan. </p><p>mi favorito es verno es mucho clehante mi no favorito es enverno es mucho friyo en mi favorito primavera es abril es mi cupleamos es perfecto. <br></p><p>en verno mi wearo taota es pantolones cuartos y no jackata. en verno mi famila nademos en la playa . en enfermo mi juego baloncesto en la escuela equipo es mi favorito deporte. adios jose mis favorito pen pal.</p><p>adios. </p><p><br></p>,N-SE
12680,A3199444,2385442.0,A1,<p> hola mi favorito exchange student  es juan. <br></p><p>mi amo juan en mi famila es mucho exited to ojo tu. mi famila es much grande en buen en. mi madre es merry es 41 she is a amazing chef y como pizza es mucho pefecto. mi padre es matt es 40 un caro seller es muy strong. mi hermano nathan es cincento es tall y grande es una buen football amercano equipo. mi baloncesto equipo es mucho buen. mi perro es has mucho pelo en loves to play fetch. mi casa es grande un cuatro banos un cinco bedrooms en back yard es grande. i think you will have fun here can't wait to meat you ceeya ceeyas</p><p>adios mi favorito exchange student </p>,N-MM
12682,A3199444,2385442.0,A1,"<p>hola mi favorito pen pal es juan </p><p>mi ir en united states en mi state es Michigan en Ciudad es en Detriot es mucho things to do and uno of those things are to watch biesbol Juego or Baloncesto Equipo es pistons es mucho perfecto or. watch any other deporte equipo. en Ciudad es mucho delicea pizza es so good. en la united states, there are a lot of monuments </p>",N-SE
13579,A3229120,2412242.0,A1,<p>Hola! </p><p><br></p>,N-SE
13581,A3229120,2412242.0,A1,"<p>Hola!</p><p>El verano es muy bueno, para hace sol y hace buen tiempo todos los días. Practico béisbol y footbol de americano siempre. Mis amigos y yo jugamos béisbol en el parque de Morrison y comemos pizza en la pizzeria de Islington a menudo. Cuando hace mal tiempo, mis amigos y yo vamos a la mi casa mirar telivision. Prefro el verano, el invierno es muy mal. </p><p><br></p><p>Gracias, Adios</p>",N-MF
13582,A3229120,2412242.0,A1,"<p>Hola!</p><p>En mi casa, hay cuatro personas, mi madre es Rose, mi padre es John, mi hermana es Grace, y yo. Rose hay 42 años, John es 44 años, y Grace es 13 años. Rose es muy simpatica y guapa, John es muy alto, y Grace es perezosa. Mi casa es muy grande, en mi casa hay siete dormitorios, y hay tres baños. Mis padres casa no es grande, en tú casa, hay un garaje y dos cuartos. En la casa de Grace, es muy pequena, hay dos cuartos, y no garaje, casa es muy guapa. Mi casa es mi favorito. </p><p><br></p><p>Gracias, Adios</p>",N-MF
13585,A3229120,2412242.0,A1,"<p>Hola!</p><p>En mi casa, hay cuatro personas, mi madre es Rose, mi padre es John, mi hermana es Grace, y yo. Rose hay 42 años, John es 44 años, y Grace es 13 años. Rose es muy simpatica y guapa, John es muy alto, y Grace es perezosa. Mi casa es muy grande, en mi casa hay siete dormitorios, y hay tres baños. Mis padres casa no es grande, en tú casa, hay un garaje y dos cuartos. En la casa de Grace, es muy pequena, hay dos cuartos, y no garaje, casa es muy guapa. Mi casa es mi favorito. </p><p><br></p><p>Gracias, Adios</p>",N-MF
13586,A3229120,2412242.0,A1,"<p>Hola!</p><p>El verano es muy bueno, para hace sol y hace buen tiempo todos los días. Practico béisbol y footbol de americano siempre. Mis amigos y yo jugamos béisbol en el parque de Morrison y comemos pizza en la pizzeria de Islington a menudo. Cuando hace mal tiempo, mis amigos y yo vamos a la mi casa mirar telivision. Prefro el verano, el invierno es muy mal. </p><p><br></p><p>Gracias, Adios</p>",N-MF
13588,A3229120,2412242.0,A1,<p>Hola! </p><p><br></p>,N-NE
13951,A3243791,2425466.0,A1,"<p>Hola amigo,</p><p>Me llamo Maria. </p>",N-SE
13953,A3243791,2425466.0,A1,"<p>Hola amigo,</p><p>Me llamo Maria Stiber. Yo tengo nueve años</p><p>Hay seis personas hay en tu familia. Tres hermanas, Un hermano, Una máma, y Una pápa.  Mi hermana se llama Jocelyn. Su juego baloncesto y hago gimnasia.  Jocelyn tengo oncé años. Mi hermana se llama Shea. Shea juego fútbol, y hago gimnasia. Shea tengo tréce años. Mi hermano se llamo Dylan. Dylan juego fútbol americano, y lacrosse. Dylan tengo catorse años. Mi hermana se llama Myla. Su juego fútbol, y softbol. Myla tengo diez años.  </p><p>Adios amigo,</p><p><br></p><p><br></p>",N-MF
13955,A3243791,2425466.0,A1,"<p style=""text-align: left:"">Hola amigo,</p><p>Me llamo Maria Stiber. Mi favorito es el calor. En la primavera, yo juego softball. En el otoño, yo juego soccer y juego con mi máma y mi pápa. En el verano, yo monto en el bicicleta y juego con mi hermana, mi máma, y mi pápa. En el invierno, yo juego al baloncesto y toco el piano y el víolin.  </p><p>Adios amigo!<br></p>",N-MF
13956,A3243791,2425466.0,A1,"<p style=""text-align: left:"">Hola amigo,</p><p>Me llamo Maria Stiber. Mi favorito es el calor. En la primavera, yo juego softball. En el otoño, yo juego soccer y juego con mi máma y mi pápa. En el verano, yo monto en el bicicleta y juego con mi hermana, mi máma, y mi pápa. En el invierno, yo juego al baloncesto y toco el piano y el víolin.  </p><p>Adios amigo!<br></p>",N-MF
13958,A3243791,2425466.0,A1,"<p>Hola amigo,</p><p>Me llamo Maria Stiber. Yo tengo nueve años</p><p>Hay seis personas hay en tu familia. Tres hermanas, Un hermano, Una máma, y Una pápa.  Mi hermana se llama Jocelyn. Su juego baloncesto y hago gimnasia.  Jocelyn tengo oncé años. Mi hermana se llama Shea. Shea juego fútbol, y hago gimnasia. Shea tengo tréce años. Mi hermano se llamo Dylan. Dylan juego fútbol americano, y lacrosse. Dylan tengo catorse años. Mi hermana se llama Myla. Su juego fútbol, y softbol. Myla tengo diez años.  </p><p>Adios amigo,</p><p><br></p><p><br></p>",N-MF
13960,A3243791,2425466.0,A1,"<p>Hola amigo,</p><p>Me llamo Maria. </p>",N-NE
13981,A3243960,2425634.0,A1,,N-NE
13982,A3243960,2425634.0,A1,"<p>Hola amigo, mi llahmo Hudson y mi jeugo americaino futbol en octobre y novembre. Mi jeugo futbol en decembre. Mi jeugo beisbol en </p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>",N-MM
13984,A3243960,2425634.0,A1,<p>    Hola Sam</p><p> mi llalmo Hudson mi once. Mi famila caurto personas. Mi Papa llahmo Richard y 51. Mi mama llahmo kerrie y 50. Siena y 14. Adios Sam!!!<br></p>,N-MM
13987,A3243960,2425634.0,A1,<p>    Hola Sam</p><p> mi llalmo Hudson mi once. Mi famila caurto personas. Mi Papa llahmo Richard y 51. Mi mama llahmo kerrie y 50. Siena y 14. Adios Sam!!!<br></p>,N-MM
13989,A3243960,2425634.0,A1,"<p>Hola amigo, mi llahmo Hudson y mi jeugo americaino futbol en octobre y novembre. Mi jeugo futbol en decembre. Mi jeugo beisbol en </p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>",N-MM
13990,A3243960,2425634.0,A1,,N-NE
14197,A3247672,2429252.0,A1,"<p>Hola mi amigo, yo vivo en America, el country que el free. America tenía todos, que porque America es America. Ella tenía los mercados, las tiendas, los monumentos, el technology y mucho, mucho más. America es el country mejor.</p>",N-MM
14199,A3247672,2429252.0,A1,"<p>Hola, me llamo Ari. Yo vivo en Westport, Connecticut y tengo una hermana, una mamá y una papá. Yo tengo un dormitorio donde yo duermo, escribo mi tarea, hablo con mis amigos y mucho más. Yo juego dos deportes: fútbol americano y rugby, me gusta los deportes porque ellos no son fácil. Mi hermana tenía un dormitorio, ella duerma todos los días en su cama. Ella juega lacruz y crew por Westport, ella le gusta los deportes. Mis padres tenían un dormitorio, ellos les gusta cocinar porque sus comidas son muy delicioso. </p>",N-MF
14201,A3247672,2429252.0,A1,"<p>Hola mi amigo, me gusta todos los tiempos pero mi favorito es soleado y caliente porque es tranquilo y divertido. Me siento enamorado con verano porque durante el verano, es muy soleado y caliente. Durante el verano, nado en la piscina, bebo mucha aqua y el lemonade, tengo un Barbeque con mi familia, voy al gimnasio y mucho más que es muy tranquilo y divertido. ¡Gracias por escuchar, adios!<br></p>",N-MF
14202,A3247672,2429252.0,A1,"<p>Hola mi amigo, me gusta todos los tiempos pero mi favorito es soleado y caliente porque es tranquilo y divertido. Me siento enamorado con verano porque durante el verano, es muy soleado y caliente. Durante el verano, nado en la piscina, bebo mucha aqua y el lemonade, tengo un Barbeque con mi familia, voy al gimnasio y mucho más que es muy tranquilo y divertido. ¡Gracias por escuchar, adios!<br></p>",N-MF
14204,A3247672,2429252.0,A1,"<p>Hola, me llamo Ari. Yo vivo en Westport, Connecticut y tengo una hermana, una mamá y una papá. Yo tengo un dormitorio donde yo duermo, escribo mi tarea, hablo con mis amigos y mucho más. Yo juego dos deportes: fútbol americano y rugby, me gusta los deportes porque ellos no son fácil. Mi hermana tenía un dormitorio, ella duerma todos los días en su cama. Ella juega lacruz y crew por Westport, ella le gusta los deportes. Mis padres tenían un dormitorio, ellos les gusta cocinar porque sus comidas son muy delicioso. </p>",N-MF
14206,A3247672,2429252.0,A1,"<p>Hola mi amigo, yo vivo en America, el country que el free. America tenía todos, que porque America es America. Ella tenía los mercados, las tiendas, los monumentos, el technology y mucho, mucho más. America es el country mejor.</p>",N-SE
14911,A3275798,2452943.0,A1,"<p>En New York esta es centro de comercial, ice rinks, many buildings, escuelas, hospitales, y common cosas. Some actividas es amusement parks y zoos. Esta es asi que mucho actividas en New York</p>",N-MM
14913,A3275798,2452943.0,A1,<p></p><p>Mi favorita estacion es summer. Por que es no frio! Tambian mi compleanos  es en la velano. Yo voy la dormir camp y la cruise! Yo juego el baloncesto en el velano. Me gusta juego en la park. Yo voy compra en la centre de la comercial. Yo voy la cine. Yo voy muy cosas en el velano.</p>,N-MF
14914,A3275798,2452943.0,A1,"<p>My casa es no pequino but no grande. Mi casa es  vejo Mi familia is simpactico, guapo y bonita, y interesante. Mi familia casa es GRANDE !</p>",N-MM
14917,A3275798,2452943.0,A1,"<p>My casa es no pequino but no grande. Mi casa es  vejo Mi familia is simpactico, guapo y bonita, y interesante. Mi familia casa es GRANDE !</p>",N-MF
14918,A3275798,2452943.0,A1,<p></p><p>Mi favorita estacion es summer. Por que es no frio! Tambian mi compleanos  es en la velano. Yo voy la dormir camp y la cruise! Yo juego el baloncesto en el velano. Me gusta juego en la park. Yo voy compra en la centre de la comercial. Yo voy la cine. Yo voy muy cosas en el velano.</p>,N-MF
14920,A3275798,2452943.0,A1,"<p>En New York esta es centro de comercial, ice rinks, many buildings, escuelas, hospitales, y common cosas. Some actividas es amusement parks y zoos. Esta es asi que mucho actividas en New York</p>",N-MM
15055,B2681153,1906499.0,A2,<p>Hola! </p><p>Me llamo Elliot. En España tu voy muy grande fiesta... </p><p><br></p><p>Adios!</p><p>Elliot</p>,N-SE
15056,B2681153,1906499.0,A2,"<p>Hola!</p><p>En lexington su bueno actividades. tu nesesitas en zepatos?</p><p><br></p><p>adios,</p><p>Elliot</p>",N-SE
15059,B2681153,1906499.0,A2,"<p>Hola! <br><br>en winter es muy increidble. En winter es muy frio... <br></p><p>que Chile gusta? </p><p>Adios,</p><p>Elliot</p>",N-MM
15060,B2681153,1906499.0,A2,"<p>Hola! <br><br>en winter es muy increidble. En winter es muy frio... <br></p><p>que Chile gusta? </p><p>Adios,</p><p>Elliot</p>",N-SE
15063,B2681153,1906499.0,A2,"<p>Hola!</p><p>En lexington su bueno actividades. tu nesesitas en zepatos?</p><p><br></p><p>adios,</p><p>Elliot</p>",N-SE
15064,B2681153,1906499.0,A2,<p>Hola! </p><p>Me llamo Elliot. En España tu voy muy grande fiesta... </p><p><br></p><p>Adios!</p><p>Elliot</p>,N-SE
15319,B2819222,2025486.0,A1,<p>Es mi country es mut intersante. Es bueno y malo. Los personas y gordo y pequeno. Las como mucho. Cuándo las personas no como los personas es mucho fun</p>,N-MF
15320,B2819222,2025486.0,A1,<p>Es mi favorito weather es muy frio  y mal weather</p>,N-MM
15322,B2819222,2025486.0,A1,<p>es mi familia es bueno. Mi mama es bueno y malesto. Mi papa es bueno y malestso y tu. My perro es muy muy bueno y feliz</p>,N-MF
15325,B2819222,2025486.0,A1,<p>es mi familia es bueno. Mi mama es bueno y malesto. Mi papa es bueno y malestso y tu. My perro es muy muy bueno y feliz</p>,N-MF
15327,B2819222,2025486.0,A1,<p>Es mi favorito weather es muy frio  y mal weather</p>,N-SE
15328,B2819222,2025486.0,A1,<p>Es mi country es mut intersante. Es bueno y malo. Los personas y gordo y pequeno. Las como mucho. Cuándo las personas no como los personas es mucho fun</p>,N-MM
20222,B2949033,2149439.0,A1,"<p>Hola amigo</p><p>Yo vive en America. Un ciudad en America es Chicago</p><p>Tengo mucho actividades en chicago Es la drma Hamilton, La expadetion de hamilton, La pizza en chicago es mui bueno tengo mui hotels exelente y muchos mas</p><p>Adios Amigo</p><p>-Maddie</p>",N-SE
20224,B2949033,2149439.0,A1,"<p>Hola amigo</p><p>Yo vive en glen elyn tengo 5 personas en mi famila: Mama, Papa, yo, Elise y Clara. Elise y Clara mui loco. Mi pensa Elise y  clara es monos. Mi Casa tiene 5 banos y 5 dormitorios. Yo tiene 11 anos, Elise tiene 8 anos, Clara tiene 5 anos, Mama tiene 42 anos papa tiene 40 anos. Todo las personas en mi famila tiene pelo cafe. Papa, Elise, Yo y Clara tine ojos cafe mi mama tiene ojos azules. </p><p>En Glen Ellyn tengo mucho activies bueno. En la viereno la picina es mui divitero.la tienda de dulche es mui bueno</p><p>adios amigo</p><p>-Maddie</p>",N-MF
