no,username,testId,topic,Favorite Class,School Improvement,Questions,School Routine,Project,ANIMALS,COMMUNICATIONS,DIRECTIONS,POP_CULTURE,THEATER,TRAVEL,CAREERS,SCIENCE
20,A2124485,1411262,School Improvement,0.122592533,0.197629202,0.078101478,0.052890406,0.07377206,0.065509641,0.078631558,0.030735526,0.088322108,0.056422833,0.051333015,0.050119612,0.03368739
21,A2124485,1411262,Questions,0.038649958,0.059002349,0.21595606,0.028483323,0.041023399,0.054421552,0.070519283,0.045970074,0.058660337,0.051925334,0.049198512,0.030290685,0.0251542
22,A2125255,1412032,Favorite Class,0.108095537,0.074754724,0.089195835,0.038025894,0.050040806,0.045089496,0.070280465,0.030377161,0.068532565,0.057778245,0.059479885,0.027222637,0.034041619
23,A2125255,1412032,School Improvement,0.084049464,0.181885254,0.047826138,0.037800916,0.042378933,0.04537642,0.080094791,0.033085049,0.115696589,0.075383921,0.051495818,0.029762325,0.039389593
24,A2125255,1412032,Questions,0.060875582,0.050259123,0.139365958,0.026567094,0.036959565,0.038301951,0.044065887,0.032910914,0.044696663,0.035852779,0.040185502,0.025152011,0.013379636
25,A2125834,1412607,Favorite Class,0.08586799,0.065586329,0.044793882,0.05504052,0.058857597,0.050499712,0.062889386,0.031056173,0.06473099,0.059169126,0.066732556,0.025786014,0.030858033
26,A2125834,1412607,School Improvement,0.082308115,0.160165052,0.081071876,0.065460274,0.094936819,0.088951575,0.114283835,0.057271618,0.133309637,0.100482653,0.102129666,0.046969627,0.053899853
27,A2125834,1412607,Questions,0.049669991,0.095300872,0.179833544,0.043028141,0.063410745,0.070404749,0.088794186,0.054083877,0.091309415,0.066721013,0.064499072,0.033677894,0.031392543
28,A2126593,1413367,Favorite Class,0.037026989,0.035529314,0.026570858,0.018473471,0.03172434,0.027153137,0.026389787,0.015192928,0.03202464,0.041027079,0.039449792,0.022608417,0.016175038
29,A2126593,1413367,School Improvement,0.041220023,0.09131835,0.044297599,0.023163171,0.029375686,0.032003772,0.040680544,0.020089402,0.061239894,0.038997771,0.03142244,0.02305621,0.015293241
30,A2126593,1413367,Questions,0.0277729,0.032874434,0.074993076,0.018051261,0.024434947,0.037699235,0.041227489,0.03055921,0.038895626,0.033787041,0.034950748,0.014053748,0.017221767
31,A2127225,1413961,School Routine,0.019095689,0.017875609,0.014628713,0.097795898,0.016046661,0.013234546,0.013277774,0.007857962,0.017856392,0.024078085,0.02245789,0.004197892,0.007140642
32,A2127225,1413961,Project,0.055324464,0.0609899,0.084282774,0.031544001,0.115748706,0.061625157,0.066357453,0.045713336,0.06813976,0.071180438,0.077465336,0.03461424,0.031338057
33,A2127225,1413961,Questions,0.018681317,0.02581504,0.092381337,0.014162528,0.024190848,0.026396592,0.034544408,0.027873322,0.031567356,0.026992037,0.028110789,0.010772746,0.013786202
34,A2128824,1415531,Favorite Class,0.073102975,0.043643062,0.038087521,0.020886445,0.043209338,0.030201956,0.035072155,0.01943618,0.040883185,0.039435303,0.035004435,0.026853991,0.022469619
35,A2128824,1415531,School Improvement,0.083300025,0.117517208,0.058946149,0.02671185,0.041956797,0.044767007,0.049196834,0.023286266,0.056266415,0.042063893,0.055472571,0.031212342,0.038252647
36,A2128824,1415531,Questions,0.006206427,0.010111177,0.066757593,0.009611561,0.012743803,0.01451526,0.019927382,0.011041554,0.014135856,0.009736759,0.01086762,0.006922189,0.007212831
37,A2129749,1416460,Favorite Class,0.160720916,0.081511065,0.088165178,0.047289575,0.067092462,0.052990924,0.077000454,0.037280203,0.077089101,0.076928326,0.06921335,0.03035881,0.046982217
38,A2129749,1416460,School Improvement,0.060887698,0.094119016,0.065412174,0.051714051,0.053470224,0.045963574,0.054659783,0.032368889,0.065838658,0.059710653,0.051727578,0.027589089,0.028477636
39,A2129749,1416460,Questions,0.100229933,0.046281241,0.143174274,0.035213118,0.04279271,0.03916504,0.052203324,0.037743356,0.04580239,0.048744518,0.043716865,0.023645952,0.024327543
40,A2130246,1416958,Favorite Class,0.239389922,0.106438288,0.054724515,0.082109555,0.066588253,0.053928617,0.103065269,0.036675422,0.076533631,0.0738823,0.055617336,0.036336575,0.073075735
41,A2130246,1416958,School Improvement,0.117264488,0.22207221,0.070486298,0.048866736,0.062032156,0.103216559,0.096280388,0.034383693,0.127076992,0.071792013,0.074586517,0.047940718,0.050789474
42,A2130246,1416958,Questions,0.083044711,0.0922041,0.266439492,0.051689642,0.08295488,0.094360383,0.101053039,0.074656877,0.095743116,0.093608478,0.098261054,0.046690328,0.039380768
43,A2130596,1417264,Favorite Class,0.127884188,0.065570476,0.057854187,0.031397217,0.041024397,0.037244368,0.046345739,0.018747319,0.042850311,0.031504507,0.04222713,0.020290155,0.031798296
44,A2130596,1417264,School Improvement,0.053258491,0.065340981,0.031120128,0.019790073,0.035007691,0.038149223,0.04401844,0.019677424,0.048147533,0.039694523,0.042014442,0.017106347,0.020073755
45,A2130596,1417264,Questions,0.029516461,0.036607754,0.112025473,0.01538339,0.021226302,0.030775193,0.036433301,0.029336874,0.0304951,0.026505274,0.026106174,0.012512907,0.011981364
46,A2130622,1417290,Favorite Class,0.198693059,0.126969512,0.081574941,0.06671122,0.080598305,0.06723037,0.096379143,0.046484897,0.087859653,0.090263503,0.079869041,0.044731853,0.066233475
47,A2130622,1417290,School Improvement,0.127478198,0.162471443,0.061422888,0.071844097,0.067657437,0.057555207,0.098935673,0.043297961,0.112152438,0.09347786,0.060806159,0.038112555,0.057788274
48,A2130622,1417290,Questions,0.046808807,0.060860688,0.090707018,0.02615627,0.02764502,0.03584721,0.043259805,0.029305816,0.042841818,0.033472634,0.03494966,0.038276544,0.019076387
49,A2137820,1424039,Questions,0.057580914,0.066749658,0.084774886,0.036047123,0.046361303,0.045823943,0.063003008,0.032943404,0.055430525,0.048314741,0.054636533,0.028241815,0.033427582
50,A2137820,1424039,Favorite Class,0.104882087,0.079573823,0.046104241,0.039102225,0.050552513,0.052025548,0.055348643,0.026285523,0.061363085,0.053795982,0.063423476,0.030509534,0.03277972
51,A2137820,1424039,School Improvement,0.076188734,0.132467298,0.063439197,0.065124632,0.071225378,0.044646333,0.073604262,0.03756746,0.075383451,0.060954632,0.048353035,0.042951012,0.037130301
52,A2141841,1428014,Favorite Class,0.236408988,0.100396048,0.067429182,0.089061053,0.08419511,0.059292922,0.111416699,0.06366778,0.080703701,0.073810523,0.06826065,0.050623542,0.082111306
53,A2141841,1428014,School Improvement,0.123441695,0.197131206,0.064748073,0.077426949,0.066000872,0.095538748,0.111204195,0.054377776,0.136652814,0.09530091,0.07932046,0.053022773,0.054372507
54,A2141841,1428014,Questions,0.022531447,0.024707849,0.128171258,0.014630426,0.02357837,0.03701578,0.035484765,0.02861945,0.027604722,0.025986989,0.030267078,0.020119602,0.013885552
55,A2145903,1431861,Favorite Class,0.081356612,0.038427353,0.022093298,0.024625311,0.031343996,0.018708387,0.044354061,0.01159934,0.036042382,0.030755691,0.025612876,0.012034281,0.021911843
56,A2145903,1431861,School Improvement,0.057740893,0.103630667,0.022722233,0.021981195,0.027558524,0.028912747,0.039791268,0.012761994,0.064399017,0.040397577,0.035012977,0.015033665,0.016524549
57,A2145903,1431861,Questions,0.023291942,0.034346115,0.135800196,0.019198583,0.034199032,0.033540981,0.041979303,0.030159586,0.03660963,0.034315438,0.028521612,0.021172596,0.022758511
58,A2150814,1436641,Favorite Class,0.23498437,0.1067976,0.071828925,0.099582503,0.079208873,0.048103891,0.111188101,0.060371942,0.070571679,0.067510056,0.05431455,0.039839268,0.084746798
59,A2150814,1436641,School Improvement,0.095326863,0.183316122,0.057080391,0.040829903,0.051294925,0.058046353,0.072064386,0.03096679,0.094388689,0.057730931,0.054280939,0.042022591,0.031550143
60,A2150814,1436641,Questions,0.027501729,0.032157939,0.102541314,0.019744451,0.026638924,0.032482004,0.036966268,0.029560936,0.030923815,0.027033634,0.03342074,0.016984989,0.011430551
61,A2189291,1474324,School Routine,0.081632386,0.089223921,0.05087883,0.256248351,0.071799151,0.0619659,0.097636352,0.040255754,0.093726457,0.082527566,0.067631618,0.030220579,0.05235782
62,A2189291,1474324,Project,0.050247915,0.045443731,0.037281998,0.033063883,0.155907696,0.037757558,0.054257539,0.020453736,0.049017325,0.038587325,0.03557593,0.029104027,0.023818262
63,A2189291,1474324,Questions,0.057846409,0.068692856,0.127718372,0.073325118,0.057377826,0.070813503,0.077284564,0.043246159,0.070694966,0.058867731,0.053257217,0.057688492,0.0338345
64,A2197000,1481843,School Routine,0.032015429,0.031552045,0.024322896,0.198698955,0.044279092,0.023865757,0.034435738,0.044423787,0.041490343,0.034341463,0.030357367,0.011088539,0.021742341
65,A2197000,1481843,Project,0.051579721,0.049667842,0.03346812,0.032837685,0.143839546,0.042054775,0.050717818,0.025610205,0.057486052,0.061838332,0.045886879,0.019409219,0.024353742
66,A2197000,1481843,Questions,0.054041965,0.043961826,0.161341049,0.033614666,0.057167726,0.062266827,0.059360781,0.042437109,0.053394772,0.059761361,0.049802104,0.028049511,0.021275389
67,A2205114,1489620,Favorite Class,0.254184667,0.096081631,0.055639747,0.084001821,0.094131953,0.038480303,0.087353174,0.035012324,0.062237356,0.057487786,0.040777277,0.03930419,0.077443368
68,A2205114,1489620,School Improvement,0.062833266,0.139646602,0.048264005,0.045197481,0.043063646,0.034953611,0.05805966,0.020646771,0.079487809,0.050387903,0.036543991,0.033625366,0.022419415
69,A2205114,1489620,Questions,0.036993281,0.046288024,0.160744259,0.027551953,0.038868471,0.044906632,0.046015667,0.041265902,0.044929149,0.04008948,0.042894646,0.024189853,0.017991978
70,A2233120,1515827,School Routine,0.095840351,0.071387318,0.0462028,0.205228344,0.062861435,0.037477595,0.083770319,0.04943532,0.067418008,0.092840893,0.054472809,0.03288056,0.053619315
71,A2233120,1515827,Project,0.060156792,0.064128706,0.058073129,0.064723326,0.16179816,0.06579425,0.071590628,0.050258877,0.069854893,0.071788408,0.050789199,0.033800777,0.050120947
72,A2233120,1515827,Questions,0.057883361,0.072564048,0.190232181,0.046108027,0.059116159,0.079680691,0.073897349,0.052864317,0.074067465,0.063045226,0.062244092,0.042555768,0.025753754
73,A2233643,1516344,Favorite Class,0.218935522,0.073586618,0.039747915,0.068612239,0.063453343,0.060492876,0.081021028,0.031698205,0.060493656,0.057279492,0.0347289,0.027055312,0.077105715
74,A2233643,1516344,School Improvement,0.068278524,0.141686858,0.049822479,0.031223754,0.042435826,0.080561533,0.078917157,0.02699311,0.115657292,0.0610988,0.05650656,0.028314202,0.039383991
75,A2233643,1516344,Questions,0.017810783,0.02166765,0.138466984,0.017625919,0.01523602,0.052247737,0.043252074,0.032900999,0.031033715,0.027091234,0.030802701,0.014138943,0.010987439
76,A2235207,1517673,Favorite Class,0.115966914,0.053738615,0.03886848,0.044694494,0.0454227,0.02880888,0.051265892,0.016483017,0.045906884,0.033060377,0.034722327,0.030899088,0.040525218
77,A2235207,1517673,School Improvement,0.105631336,0.101444869,0.03930066,0.047835713,0.044465753,0.041694234,0.060406269,0.0298163,0.06722744,0.060829463,0.053146329,0.02374278,0.034335198
78,A2235207,1517673,Questions,0.042808046,0.045054385,0.217173082,0.027670466,0.044225992,0.047777466,0.054389434,0.045987963,0.04696317,0.038350185,0.046582823,0.021678659,0.020851283
79,A2238278,1520696,Favorite Class,0.179301204,0.072967918,0.045830498,0.031835811,0.041778062,0.03800496,0.04941391,0.012315034,0.046630091,0.029692466,0.048047729,0.022585549,0.032672319
80,A2238278,1520696,School Improvement,0.155959339,0.137819914,0.050010716,0.04374068,0.056986074,0.051883121,0.091827065,0.030308641,0.090786941,0.062087092,0.073382155,0.034459184,0.054150255
81,A2238278,1520696,Questions,0.061220607,0.061787538,0.175560671,0.058630778,0.06938151,0.084685958,0.074892612,0.058177215,0.077043368,0.081331163,0.064433739,0.025718697,0.031459159
82,A2259520,1541480,Favorite Class,0.17159923,0.125236253,0.070107668,0.061798781,0.081534414,0.057492531,0.083578602,0.03877215,0.080832154,0.069197738,0.063731653,0.053150011,0.051257802
83,A2259520,1541480,School Improvement,0.102653593,0.196233982,0.062623236,0.058831937,0.071926004,0.065866364,0.090378515,0.041067237,0.126455295,0.097587141,0.079826371,0.043072343,0.045327507
84,A2259520,1541480,Questions,0.028665954,0.035395234,0.14289421,0.022845398,0.031288186,0.03955406,0.042931624,0.033168624,0.038780843,0.038056814,0.042895398,0.015574266,0.017395831
85,A2371530,1648714,Favorite Class,0.1880558,0.064985868,0.034726165,0.068012307,0.052895446,0.028733016,0.071183438,0.030685716,0.047279172,0.050027083,0.036563145,0.027914115,0.092349546
86,A2371530,1648714,School Improvement,0.047190366,0.1234751,0.025844956,0.024868556,0.028877582,0.028671396,0.041404467,0.015549864,0.070678148,0.053465576,0.035770645,0.013199242,0.012747233
87,A2371530,1648714,Questions,0.015313462,0.024390885,0.149962828,0.007752017,0.012625051,0.015905126,0.019159023,0.012387542,0.011280961,0.009948208,0.009973412,0.025009965,0.007073109
88,A2387230,1664114,Favorite Class,0.255771907,0.090989846,0.052742592,0.085098984,0.073364776,0.042703698,0.096213825,0.047459355,0.073580042,0.078262445,0.055321237,0.036476616,0.078212695
89,A2387230,1664114,School Improvement,0.057192327,0.129452477,0.044219322,0.055036699,0.042909166,0.047434422,0.065486306,0.036893688,0.090451817,0.068658537,0.036852221,0.029871607,0.028601561
90,A2387230,1664114,Questions,0.02698198,0.045819753,0.150961066,0.018351708,0.020270338,0.027006386,0.035082705,0.027059984,0.032138201,0.0283302,0.026280336,0.015009997,0.008685525
91,A2391044,1667891,School Routine,0.000190429,0.000615011,0.000151527,0.015750735,0,0,0,0,0,0.00019732,0,0,0
92,A2391044,1667891,Project,0.000960934,0.001873496,0.00180017,0.006724015,0.027684095,0.002743511,0.00260597,0.000687259,0.003576172,0.007097673,0.000287924,0.003801948,0.007381127
93,A2391044,1667891,Questions,0.000455175,0.000876267,0.002707642,0.004328231,0.004377783,0.001665082,0.001425659,0,0.001334995,0.004214437,0,0.002953639,0.003950999
94,A2399315,1675508,Favorite Class,0.187097101,0.132065256,0.064929683,0.072797199,0.082016062,0.070801618,0.101006269,0.043837535,0.085605518,0.076754447,0.0729687,0.047323429,0.074134268
95,A2399315,1675508,School Improvement,0.121885886,0.188706824,0.089663253,0.054565242,0.085317043,0.104336985,0.108206356,0.04695082,0.121429312,0.089333857,0.113401621,0.053623627,0.061902231
96,A2399315,1675508,Questions,0.054563031,0.065405439,0.165430957,0.042470711,0.059467605,0.051131765,0.074277086,0.047666463,0.072364334,0.065321489,0.052018303,0.02829587,0.030747596
97,A2402219,1677813,Favorite Class,0.050947163,0.058670844,0.047995608,0.02186273,0.041657828,0.045491819,0.038274642,0.028015455,0.042798141,0.035414516,0.039196618,0.021556219,0.016367542
98,A2402219,1677813,School Improvement,0.032415901,0.062932606,0.023943431,0.019731483,0.02515822,0.03294525,0.033269177,0.016919012,0.037973658,0.028715301,0.041730768,0.023867782,0.022774186
99,A2402219,1677813,Questions,0.033269742,0.042828076,0.103053786,0.027718198,0.038610333,0.039597131,0.047589997,0.030606676,0.042585864,0.02860177,0.038401067,0.02135143,0.018603526
100,A2426281,1698886,Favorite Class,0.161692992,0.087331459,0.067361955,0.068003166,0.077790628,0.053084268,0.083338426,0.033561435,0.074979075,0.062540586,0.055823693,0.039273003,0.057358021
101,A2426281,1698886,School Improvement,0.065897358,0.12193442,0.064027827,0.055998175,0.070238932,0.072929192,0.086141542,0.041024124,0.094079537,0.064996812,0.057987259,0.040418332,0.041981646
102,A2426281,1698886,Questions,0.045580704,0.052032857,0.154647439,0.03439579,0.051604356,0.042624589,0.0604639,0.038040831,0.05350693,0.055314552,0.041297501,0.039998701,0.037141365
103,A2430897,1702681,Favorite Class,0.145720297,0.087677632,0.059248344,0.070851026,0.076311514,0.058136352,0.079468773,0.033878345,0.075220378,0.057871963,0.06631767,0.041499237,0.054310596
104,A2430897,1702681,School Improvement,0.003287059,0.012727171,0.005105889,0.014515995,0.011533156,0.006884498,0.006725712,0.00304767,0.009282309,0.008897309,0.002339962,0.000774412,0.004513757
105,A2430897,1702681,Questions,0.002911013,0.005285572,0.011386356,0.010715258,0.007519747,0.007324712,0.005786572,0.002636902,0.006114282,0.007291259,0.002462699,0.002485784,0.00423805
106,A2436159,1706874,Favorite Class,0.098755535,0.083894675,0.057977365,0.071356296,0.057942514,0.071167235,0.080028881,0.040246338,0.080442155,0.064158095,0.065341059,0.033236776,0.039658707
107,A2436159,1706874,School Improvement,0.076349004,0.130421518,0.056428008,0.062180269,0.065127351,0.075990276,0.082259297,0.043431617,0.091463882,0.079202785,0.072444048,0.044956783,0.041774785
108,A2436159,1706874,Questions,0.041047959,0.050339075,0.140934158,0.033845245,0.050720658,0.05890397,0.06787511,0.044542112,0.066640644,0.056324722,0.048273904,0.026145401,0.029760301
109,A2482288,1738591,Favorite Class,0.186994487,0.065327311,0.04413417,0.057469803,0.047521137,0.030456529,0.070576293,0.022353359,0.047285062,0.043701153,0.030314689,0.029781329,0.052916419
110,A2482288,1738591,School Improvement,0.051484421,0.06933636,0.022493887,0.034491904,0.02330466,0.016247742,0.036846324,0.020186236,0.044776821,0.034329332,0.016746645,0.009315891,0.022921811
111,A2482288,1738591,Questions,0.048766653,0.049673774,0.101990436,0.028622737,0.056559279,0.048295691,0.055094478,0.035016574,0.052079635,0.046642763,0.04604124,0.032907493,0.020844025
112,A2514251,1762728,Favorite Class,0.160363915,0.125809552,0.059246655,0.072051509,0.083192556,0.059548923,0.101540413,0.045422788,0.095555903,0.079697509,0.061878053,0.04618357,0.056191852
113,A2514251,1762728,School Improvement,0.098831595,0.176244892,0.06301455,0.05824565,0.069465208,0.06266664,0.090775059,0.05549551,0.125892689,0.100314984,0.065561304,0.04064345,0.045982342
114,A2514251,1762728,Questions,0.036716334,0.06882021,0.122701132,0.03358854,0.032511121,0.04043186,0.066267746,0.041760847,0.072325264,0.055347417,0.044022218,0.020804728,0.023463269
115,A2515229,1763611,Favorite Class,0.160018222,0.112598984,0.080553415,0.076592078,0.10266524,0.082741443,0.113911834,0.058023025,0.109291395,0.101617181,0.08780401,0.062651622,0.070279801
116,A2515229,1763611,School Improvement,0.092695199,0.177549194,0.103881441,0.065716639,0.090364102,0.091754678,0.109707407,0.052184619,0.132092994,0.088003912,0.083455046,0.053257129,0.057616407
117,A2515229,1763611,Questions,0.065198541,0.077469462,0.154630223,0.049807403,0.091319661,0.068347276,0.083354423,0.047879535,0.09021923,0.080298671,0.0699205,0.044146634,0.046896327
118,A2543812,1786865,School Routine,0.009815412,0.002728693,0.003988475,0.01517576,0.067374984,0.000841595,0.005801594,0,0.007683037,0.01086224,0.001371336,0,0.028871864
119,A2543812,1786865,Project,0,0,0,0,0,0,0,0,0,0,0,0,0
120,A2543812,1786865,Questions,0.000638175,0.001917413,0.035820222,0.00079727,0.004508601,0.071523496,0.007917681,0.005658972,0.004917141,0.003862379,0.006791979,0.001967969,0
121,A2544069,1787122,School Routine,0.114583541,0.064079583,0.053708181,0.226462308,0.073144727,0.039889262,0.081704626,0.067137748,0.063267599,0.078180036,0.048825147,0.033086251,0.060873883
122,A2544069,1787122,Project,0.058171842,0.060558011,0.06569252,0.041963809,0.176502417,0.06182715,0.066897706,0.035537835,0.071983378,0.067355901,0.06347372,0.038965922,0.038290276
123,A2544069,1787122,Questions,0.053220279,0.066144498,0.106513403,0.046346784,0.064075415,0.053407481,0.06219496,0.041041675,0.062392596,0.056445325,0.049552117,0.052769792,0.026052738
124,A2547358,1790396,Favorite Class,0.208662726,0.116310187,0.063345565,0.105031847,0.083438518,0.050199361,0.106636781,0.046211868,0.082313966,0.075790892,0.0464088,0.047723381,0.099760078
125,A2547358,1790396,School Improvement,0.0669191,0.145582571,0.066090621,0.044627058,0.06864727,0.085245812,0.098576326,0.036428258,0.108031177,0.056882855,0.064478217,0.054272659,0.037796133
126,A2547358,1790396,Questions,0.036431182,0.042118094,0.11252265,0.025155674,0.038503036,0.035657217,0.045221182,0.029725405,0.03996471,0.038267182,0.039512885,0.03591223,0.020213224
127,A2556576,1795495,Favorite Class,0.232548271,0.106922035,0.048711814,0.073082029,0.055217364,0.040540669,0.083744125,0.027240474,0.065107282,0.055288616,0.046262968,0.024607219,0.067044595
128,A2556576,1795495,School Improvement,0.089458255,0.169506953,0.053929883,0.042321222,0.04803801,0.048292543,0.068713554,0.025574733,0.084787157,0.050976382,0.043013147,0.029052073,0.036110782
129,A2556576,1795495,Questions,0.018461284,0.015342755,0.091695051,0.010352333,0.011150941,0.017374638,0.023997168,0.015366612,0.02241791,0.016680673,0.011164856,0.004589524,0.012075158
130,A2595053,1829539,School Routine,0.111205621,0.061249802,0.036132313,0.114193051,0.054567798,0.031401781,0.061055176,0.047143151,0.047654926,0.051990686,0.041638629,0.043508134,0.050636576
131,A2595053,1829539,Project,0.04893164,0.036736432,0.024431246,0.040234684,0.087446414,0.035304099,0.050232555,0.027555145,0.042086027,0.040333464,0.03581182,0.021857709,0.031752439
132,A2595053,1829539,Questions,0.055432658,0.056044027,0.058852983,0.047130965,0.047866699,0.041125515,0.061193458,0.030971664,0.062114417,0.062539564,0.048106375,0.02602912,0.033831492
133,A2607207,1841516,School Routine,0.038721084,0.057938578,0.024415248,0.084427261,0.031186972,0.028508688,0.042357959,0.026465193,0.068295295,0.041742038,0.020976864,0.016160297,0.025975396
134,A2607207,1841516,Project,0.088243882,0.057950461,0.052282309,0.062975446,0.112537895,0.050651223,0.071997455,0.052303574,0.060650582,0.076800434,0.051989277,0.033424837,0.046098472
135,A2607207,1841516,Questions,0.044172146,0.048778809,0.148718826,0.034725233,0.046508052,0.044698356,0.063574911,0.042055737,0.063004541,0.041231201,0.041058168,0.034651421,0.025552061
136,A2637881,1868435,School Routine,0.0705446,0.032197148,0.020996957,0.203159937,0.034070969,0.013988886,0.037537441,0.020934052,0.026640075,0.024997321,0.016976383,0.015645059,0.032572635
137,A2637881,1868435,Project,0.088922719,0.039097846,0.033185425,0.067580076,0.093134883,0.027902425,0.054867078,0.044195101,0.042009048,0.043115799,0.031543821,0.016994437,0.038486389
138,A2637881,1868435,Questions,0.042807342,0.03770989,0.209457615,0.027501664,0.041498012,0.055256126,0.051023207,0.048543357,0.046212035,0.039444667,0.052544911,0.016770552,0.016107283
139,A2665993,1893822,Favorite Class,0.199437258,0.098812741,0.067252817,0.095903892,0.095763833,0.072582043,0.107438595,0.059741482,0.097158508,0.11423038,0.090053533,0.042561914,0.082208837
140,A2665993,1893822,School Improvement,0.06559435,0.109068627,0.065954,0.053497904,0.071455278,0.081417784,0.086630599,0.049869776,0.09445246,0.080156808,0.064058081,0.046989713,0.044067106
141,A2665993,1893822,Questions,0.077397055,0.070966578,0.130415333,0.066451499,0.077597777,0.061668843,0.084642216,0.058772239,0.081997064,0.094385774,0.056116098,0.047482795,0.047526999
142,A2760817,1972439,Favorite Class,0.149098707,0.101164615,0.0691534,0.061539953,0.081816805,0.05889433,0.082852645,0.038388536,0.081613283,0.064997652,0.05500967,0.042676649,0.047553482
143,A2760817,1972439,School Improvement,0.071208072,0.133864458,0.06364529,0.05453148,0.049763175,0.054769745,0.071753733,0.045755557,0.088571397,0.07276628,0.077810524,0.03519085,0.034309094
144,A2760817,1972439,Questions,0.027928095,0.044288473,0.067501156,0.027626417,0.043461644,0.033425845,0.041842453,0.029923493,0.045263746,0.046845016,0.030372143,0.027046409,0.025527576
145,A2783410,1991786,School Routine,0.020555011,0.017178536,0.011953654,0.04654254,0.012547827,0.013247818,0.016275961,0.008813667,0.018693056,0.012228954,0.010904717,0.00757007,0.005732352
146,A2783410,1991786,Project,0.034924114,0.038219876,0.04150412,0.024508327,0.114517405,0.050884566,0.037246339,0.021239325,0.04704683,0.038908165,0.04611151,0.030711768,0.025256864
147,A2783410,1991786,Questions,0.018368003,0.020304784,0.038252251,0.015336775,0.043876176,0.040466313,0.028378411,0.018675108,0.029713604,0.026014354,0.031277627,0.013124952,0.01354191
