no,reviseNetID,text,distA,distAMinus,distBPlus,distB,maxSim,predicted,expected
11,berthusennoah,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.576128085,0.550943754,0.604751697,0.495717578,0.604751697,B+,A
12,bibusparker,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.577350653,0.550943754,0.604751697,0.495717578,0.604751697,B+,A
13,bloedelkeegan,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.576058582,0.550943583,0.604751697,0.495717578,0.604751697,B+,A
14,bonczkowskiamanda,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.56226592,0.529368008,0.592814041,0.482689714,0.592814041,B+,A-
15,borchardzachary,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.578683123,0.550943583,0.604751697,0.495717578,0.604751697,B+,A
16,bradleybenjamin,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575611501,0.550732477,0.604750791,0.495717578,0.604750791,B+,A-
17,brandterich,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.577638327,0.550943754,0.604751697,0.495717578,0.604751697,B+,A
18,brandtmatthew,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.577408446,0.550943754,0.604751697,0.495717578,0.604751697,B+,A
19,chavarrialorenzo,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.576379597,0.550943857,0.604752747,0.495717578,0.604752747,B+,A
20,chavezrene,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.576555413,0.55094201,0.604751697,0.495717578,0.604751697,B+,A
21,chenluzhuo,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.577754143,0.550943711,0.604751697,0.495717578,0.604751697,B+,A
22,chogeonhee,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.578845464,0.550943796,0.604751697,0.495717578,0.604751697,B+,A
23,ciccarelliastaenzo,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.574833086,0.550943626,0.604751697,0.495717578,0.604751697,B+,A
24,colemanian,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.576174428,0.550943633,0.604751697,0.495725342,0.604751697,B+,A
25,constantalexander,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575112862,0.550941202,0.604751697,0.495717578,0.604751697,B+,A
26,corpsteinadam,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.571694671,0.550943754,0.604751697,0.495717578,0.604751697,B+,A
27,dammanbrandt,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575698796,0.550941263,0.604747496,0.495717578,0.604747496,B+,A
28,ehlersteven,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575195885,0.550943532,0.604751697,0.495713696,0.604751697,B+,A
29,fahmyandrew,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575607391,0.550942519,0.60474864,0.495677348,0.60474864,B+,A
30,feddersenbenjamin,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575611999,0.552667554,0.604751697,0.495717578,0.604751697,B+,A-
31,firthcolin,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575609782,0.552039309,0.604748546,0.495717578,0.604748546,B+,A-
32,floryjoshua,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.573526665,0.550851111,0.604751697,0.495717578,0.604751697,B+,A
33,garciaaustin,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.576688705,0.550943754,0.604751697,0.495717578,0.604751697,B+,A
34,gernegasergey,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575547888,0.550887011,0.604660187,0.495642567,0.604660187,B+,A-
35,gilbertwalter,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.577041914,0.550943754,0.604751697,0.495717578,0.604751697,B+,A
36,goluchandrew,script title legend br input img img p br br input img img p br br br option option option img img p br br br option option option option option option option option option option option img img p br br input script title legend br input img img p br br input img img p br br input img img p p br br input input  VariableDeclaration VariableDeclaration ExpressionStatement IfStatement VariableDeclaration VariableDeclaration VariableDeclaration VariableDeclaration IfStatement VariableDeclaration VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement VariableDeclaration VariableDeclaration ExpressionStatement IfStatement ReturnStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration ExpressionStatement VariableDeclaration VariableDeclaration IfStatement SwitchStatement SwitchStatement ExpressionStatement,0.575609708,0.552153123,0.604748691,0.495713696,0.604748691,B+,A-
